iter	Passed	Remaining
1050	7316	3125
1051	7322	3118
1052	7328	3111
1053	7335	3103
1054	7342	3097
1055	7349	3089
1056	7355	3082
1057	7362	3075
1058	7367	3068
1059	7374	3060
1060	7380	3053
1061	7386	3046
1062	7392	3039
1063	7398	3031
1064	7404	3024
1065	7411	3017
1066	7418	3010
1067	7425	3003
1068	7430	2995
1069	7437	2988
1070	7443	2981
1071	7449	2974
1072	7456	2967
1073	7462	2959
1074	7468	2952
1075	7473	2945
1076	7480	2938
1077	7486	2930
1078	7492	2923
1079	7499	2916
1080	7505	2909
1081	7512	2902
1082	7519	2895
1083	7526	2888
1084	7534	2881
1085	7543	2875
1086	7551	2869
1087	7559	2862
1088	7566	2855
1089	7573	2848
1090	7579	2841
1091	7586	2834
1092	7593	2827
1093	7600	2820
1094	7606	2813
1095	7612	2806
1096	7618	2798
1097	7625	2791
1098	7632	2784
1099	7638	2777
1100	7645	2770
1101	7651	2763
1102	7657	2755
1103	7664	2749
1104	7671	2742
1105	7678	2735
1106	7685	2728
1107	7692	2721
1108	7699	2714
1109	7705	2707
1110	7711	2699
1111	7717	2692
1112	7723	2685
1113	7729	2678
1114	7735	2671
1115	7742	2664
1116	7749	2657
1117	7756	2650
1118	7763	2643
1119	7770	2636
1120	7775	2628
1121	7782	2621
1122	7788	2614
1123	7794	2607
1124	7800	2600
1125	7806	2593
1126	7813	2585
1127	7819	2578
1128	7826	2571
1129	7832	2564
1130	7838	2557
1131	7844	2550
1132	7851	2543
1133	7857	2536
1134	7864	2528
1135	7870	2521
1136	7876	2514
1137	7883	2507
1138	7889	2500
1139	7895	2493
1140	7902	2486
1141	7909	2479
1142	7915	2472
1143	7921	2464
1144	7928	2458
1145	7934	2450
1146	7940	2443
1147	7946	2436
1148	7953	2429
1149	7959	2422
1150	7967	2415
1151	7974	2408
1152	7980	2401
1153	7987	2394
1154	7993	2387
1155	7999	2380
1156	8005	2373
1157	8012	2366
1158	8018	2359
1159	8025	2352
1160	8031	2345
1161	8037	2338
1162	8044	2331
1163	8051	2324
1164	8057	2316
1165	8063	2309
1166	8070	2302
1167	8076	2295
1168	8082	2288
1169	8088	2281
1170	8095	2274
1171	8101	2267
1172	8108	2260
1173	8114	2253
1174	8120	2246
1175	8127	2239
1176	8132	2231
1177	8138	2224
1178	8145	2217
1179	8153	2211
1180	8159	2204
1181	8166	2197
1182	8173	2190
1183	8179	2183
1184	8185	2175
1185	8191	2168
1186	8198	2161
1187	8222	2159
1188	8235	2154
1189	8243	2147
1190	8250	2140
1191	8257	2133
1192	8263	2126
1193	8270	2119
1194	8277	2112
